"movieId","userId","rating","title","genres","imdbId"
1,1,4.0,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,114709
3,1,4.0,Grumpier Old Men (1995),Comedy|Romance,113228
47,1,5.0,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,114369
50,1,5.0,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,114814
101,1,5.0,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance,115734
110,1,4.0,Braveheart (1995),Action|Drama|War,112573
216,1,5.0,Billy Madison (1995),Comedy,112508
223,1,3.0,Clerks (1994),Comedy,109445
235,1,4.0,Ed Wood (1994),Comedy|Drama,109707
260,1,5.0,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi,76759
296,1,3.0,Pulp Fiction (1994),Comedy|Crime|Drama|Thriller,110912
316,1,3.0,Stargate (1994),Action|Adventure|Sci-Fi,111282
349,1,4.0,Clear and Present Danger (1994),Action|Crime|Drama|Thriller,109444
356,1,4.0,Forrest Gump (1994),Comedy|Drama|Romance|War,109830
457,1,5.0,"Fugitive, The (1993)",Thriller,106977
480,1,4.0,Jurassic Park (1993),Action|Adventure|Sci-Fi|Thriller,107290
500,1,3.0,Mrs. Doubtfire (1993),Comedy|Drama,107614
527,1,5.0,Schindler's List (1993),Drama|War,108052
543,1,4.0,So I Married an Axe Murderer (1993),Comedy|Romance|Thriller,108174
552,1,4.0,"Three Musketeers, The (1993)",Action|Adventure|Comedy|Romance,108333
590,1,4.0,Dances with Wolves (1990),Adventure|Drama|Western,99348
592,1,4.0,Batman (1989),Action|Crime|Thriller,96895
593,1,4.0,"Silence of the Lambs, The (1991)",Crime|Horror|Thriller,102926
596,1,5.0,Pinocchio (1940),Animation|Children|Fantasy|Musical,32910
608,1,5.0,Fargo (1996),Comedy|Crime|Drama|Thriller,116282
648,1,3.0,Mission: Impossible (1996),Action|Adventure|Mystery|Thriller,117060
673,1,3.0,Space Jam (1996),Adventure|Animation|Children|Comedy|Fantasy|Sci-Fi,117705
733,1,4.0,"Rock, The (1996)",Action|Adventure|Thriller,117500
736,1,3.0,Twister (1996),Action|Adventure|Romance|Thriller,117998
780,1,3.0,Independence Day (a.k.a. ID4) (1996),Action|Adventure|Sci-Fi|Thriller,116629
919,1,5.0,"Wizard of Oz, The (1939)",Adventure|Children|Fantasy|Musical,32138
923,1,5.0,Citizen Kane (1941),Drama|Mystery,33467
940,1,5.0,"Adventures of Robin Hood, The (1938)",Action|Adventure|Romance,29843
943,1,4.0,"Ghost and Mrs. Muir, The (1947)",Drama|Fantasy|Romance,39420
954,1,5.0,Mr. Smith Goes to Washington (1939),Drama,31679
